//Index   StatType   OptionIndex1   OptionIndex2   OptionIndex3   Comment
4318      3          207            0              0
4319      3          208            0              0
4320      3          209            0              0
4321      3          210            0              0
4322      3          211            0              0
4323      3          212            0              0
4324      3          213            0              0
4325      3          214            0              0
4326      3          215            0              0
4327      3          216            0              0
4328      3          217            0              0
4329      3          218            0              0
4808      3          188            0              0
4809      3          189            0              0
4810      3          190            0              0
4811      3          191            0              0
4812      3          192            0              0
4813      3          193            0              0
4817      3          194            195            0
4820      3          196            0              0
4821      3          197            0              0
4822      3          198            0              0
4823      3          199            0              0
4826      3          202            0              0
4827      3          203            0              0
4828      3          204            205            0
4829      3          206            0              0
4830      3          207            0              0
4831      3          208            0              0
4832      3          209            0              0
4833      3          210            0              0
4834      3          211            0              0
4835      3          212            0              0
4836      3          213            0              0
4837      3          214            0              0
4838      3          215            0              0
4839      3          216            0              0
4840      3          217            0              0
4841      3          218            0              0
5329      3          195            0              0
5338      3          202            0              0
5339      3          203            0              0
5340      3          204            205            0
5342      3          207            0              0
5343      3          208            0              0
5344      3          209            0              0
5345      3          210            0              0
5346      3          211            0              0
5348      3          213            0              0
5349      3          214            0              0
5350      3          215            0              0
5351      3          216            0              0
5352      3          217            0              0
5832      3          188            0              0
5833      3          189            0              0
5834      3          190            0              0
5835      3          191            0              0
5836      3          192            0              0
5837      3          193            0              0
5841      3          194            0              0
5844      3          196            0              0
5845      3          197            0              0
5846      3          198            0              0
5847      3          199            0              0
5850      3          202            0              0
5851      3          203            0              0
5852      3          204            205            0
5853      3          206            0              0
5857      3          210            0              0
5859      3          212            0              0
5862      3          215            0              0
5865      3          218            0              0

3769      3          185            0              0
4281      3          185            0              0
4793      3          185            0              0
5305      3          185            0              0
end
