//Index   Name                                 Option1   Value1   Option2   Value2   Option3   Value3   Option4   Value4   Option5   Value5   Option6   Value6   Option7   Value7   Option8   Value8   Option9   Value9   Option10   Value10   Option11   Value11   Option12   Value12   FullOption1   FullValue1   FullOption2   FullValue2   FullOption3   FullValue3   FullOption4   FullValue4   FullOption5   FullValue5   FullOption6   FullValue6   FullOption7   FullValue7
170       "Harsh"                              19        30       0         70       20        15       26        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            30           15            18           17            18           *             *            *             * 
171       "Punishment"                         19        35       0         90       20        18       26        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            40           15            20           17            20           *             *            *             * 
172       "Slayer"                             19        40       0         100      20        18       120       0        124       4        123       3        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             * 
173       "Frosty Slayer"                      126       21       127       15       20        18       120       19       124       23       123       22       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           16           122           18           15            20           17            20           31            4            125           17
174       "Knight"                             126       36       127       30       20        18       120       34       124       38       123       37       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
175       "Wizard"                             126       40       129       44       20        18       121       35       124       38       123       37       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
176       "Fairy Squadron (A)"                 126       43       128       30       20        18       120       39       124       42       123       41       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
177       "Summoner"                           126       40       129       44       20        18       131       35       124       38       123       37       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
178       "Magic Gladiator (A)"                126       36       127       30       20        18       120       34       124       38       123       37       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
179       "Lord"                               126       40       127       30       20        18       120       39       124       42       123       41       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
180       "Fighter"                            126       36       127       30       20        18       120       34       124       38       123       37       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
181       "Lancer"                             126       43       127       30       20        18       120       39       124       42       123       41       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
182       "Fairy (B)"                          129       44       29        51       28        51       22        45       30        65       10        270      *         *        *         *        *         *        *          *         *          *         *          *         11            550          130           31           122           33           125           32           132           32           *             *            *             * 
183       "Magic Gladiator (B)"                126       40       129       44       20        18       121       35       124       38       123       37       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
184       "Rune Mage"                          126       40       129       44       20        18       121       35       124       38       123       37       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
185       "Slayer"                             126       36       127       30       20        18       120       34       124       38       123       37       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           31           122           33           15            20           17            20           31            6            125           32
//Index   Name                                 Option1   Value1   Option2   Value2   Option3   Value3   Option4   Value4   Option5   Value5   Option6   Value6   Option7   Value7   Option8   Value8   Option9   Value9   Option10   Value10   Option11   Value11   Option12   Value12   FullOption1   FullValue1   FullOption2   FullValue2   FullOption3   FullValue3   FullOption4   FullValue4   FullOption5   FullValue5   FullOption6   FullValue6   FullOption7   FullValue7
188       "Defensive Knight's (1)"             19        10       3         80       20        5        10        30       15        5        17        5        *         *        *         *        *         *        *          *         *          *         *          *         34            50           24            10           25            20           35            5            36            10           *             *            *             * 
189       "Defensive Knight's (2)"             19        14       3         120      20        10       10        60       15        10       17        10       *         *        *         *        *         *        *          *         *          *         *          *         34            80           24            15           25            30           35            8            36            14           *             *            *             * 
190       "Defensive Knight's (3)"             19        18       3         160      20        15       10        90       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         34            110          24            20           25            40           35            12           36            18           *             *            *             * 
191       "Defensive Knight's (4)"             19        22       3         200      20        18       10        120      15        20       17        20       *         *        *         *        *         *        *          *         *          *         *          *         34            140          24            25           122           2            35            17           36            22           31            1            *             * 
192       "Defensive Knight's (5)"             126       21       3         240      20        18       10        150      15        25       17        25       *         *        *         *        *         *        *          *         *          *         *          *         34            170          130           16           122           18           35            23           36            26           31            2            125           17
193       "Defensive Knight's (6)"             126       36       3         280      20        18       10        180      15        30       17        30       *         *        *         *        *         *        *          *         *          *         *          *         34            200          130           31           122           33           35            30           36            30           31            3            125           32
194       "General Gunner's (1)"               10        25       *         *        20        10       *         *        19        20       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           16            20           18            20           *             *            *             *            *             * 
195       "General Gunner's (2)"               19        15       *         *        7         15       *         *        20        10       *         *        *         *        *         *        *         *        *          *         *          *         *          *         5             20           6             30           21            5            *             *            *             *            *             *            *             * 
196       "Primary Gunner's"                   19        25       2         50       20        10       27        50       15        15       17        15       *         *        *         *        *         *        *          *         *          *         *          *         21            5            24            10           25            20           16            30           18            30           *             *            *             * 
197       "Gunner's (2)"                       19        40       2         70       20        15       27        75       16        35       18        50       *         *        *         *        *         *        *          *         *          *         *          *         21            7            24            15           25            40           15            18           17            18           *             *            *             * 
198       "Gunner's (3)"                       19        50       2         90       20        18       27        100      16        40       18        70       *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            20           25            60           15            20           17            20           *             *            *             * 
199       "Gunner's (4)"                       19        55       2         100      20        18       121       1        124       4        123       3        *         *        *         *        *         *        *          *         *          *         *          *         21            9            24            25           122           2            15            20           17            20           31            2            *             * 
202       "Lucky Gunner's (1)"                 11        30       *         *        19        25       *         *        10        20       *         *        20        10       *         *        *         *        *          *         *          *         *          *         15            10           17            10           16            10           18            10           *             *            *             *            *             * 
203       "Lucky Gunner's (2)"                 11        50       *         *        10        40       *         *        20        15       *         *        15        15       *         *        *         *        *          *         *          *         *          *         17            15           16            20           18            20           21            5            *             *            *             *            *             * 
204       "Apprentice Gunner's"                7         7        *         *        19        7        *         *        20        1        *         *        27        30       *         *        *         *        *          *         *          *         *          *         25            20           *             *            *             *            *             *            *             *            *             *            *             * 
205       "Skilled Gunner's"                   7         10       *         *        19        10       *         *        20        3        *         *        27        50       *         *        *         *        *          *         *          *         *          *         25            40           21            3            *             *            *             *            *             *            *             *            *             * 
206       "Knight's"                           126       52       127       46       20        18       120       50       124       54       123       53       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
207       "Roar"                               126       56       129       60       20        18       121       51       124       54       123       53       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
208       "Fairy Roar (A)"                     126       59       128       46       20        18       120       55       124       58       123       57       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
209       "Summoner roar"                      126       56       129       60       20        18       131       51       124       54       123       53       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
210       "Evil Swordsman's (A)"               126       52       127       46       20        18       120       50       124       54       123       53       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
211       "Lord's"                             126       56       127       46       20        18       120       55       124       58       123       57       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
212       "Fighter's"                          126       52       127       46       20        18       120       50       124       54       123       53       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
213       "Lancer's"                           126       59       127       46       20        18       120       55       124       58       123       57       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
214       "Fairy's (B)"                        129       60       29        55       28        55       22        47       30        70       10        280      *         *        *         *        *         *        *          *         *          *         *          *         11            570          130           47           122           49           125           32           132           32           *             *            *             * 
215       "Evil Swordsman's (B)"               126       56       129       60       20        18       121       51       124       54       123       53       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
216       "Rune Wizard's"                      126       56       129       60       20        18       121       51       124       54       123       53       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
217       "Slayer's"                           126       52       127       46       20        18       120       50       124       54       123       53       *         *        *         *        *         *        *          *         *          *         *          *         21            9            130           47           122           49           15            20           17            20           31            8            125           48
218       "Defense Knight's"                   126       52       3         320      20        18       10        210      15        35       17        35       *         *        *         *        *         *        *          *         *          *         *          *         34            230          130           47           122           49           35            37           36            34           31            5            125           48
end
