//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC
342	  "Add Death Stab Mastered"            70	30	26	2	2	0	4      0	0	   0	       0	       0	      0	               0       3       0       0       0       0       0       0       0       0       0
343	  "Add Frozen Stab Mastered"           110      30	24	6	3	0	2      86	0	   0	       0	       0	      0	               0       3       0       0       0       0       0       0       0       0       0
344	  "Add Blood Storm"		       25	87	29	3	4       5000	4      0	0	   0	       0	       0	      0	               0       3       0       3       0       0       0       0       0       0       0
345	  "Add Combo Damage"		       0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
346	  "Add Blood Storm Improved"	       25	95	31	3	4       3000	4      0	0	   0	       0	       0	      0	               0       3       0       3       0       0       0       0       0       0       0
347       "Add Attack Success Rate PvP"        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
348       "Add Two Hand Sword Damage"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0       0       0       0       0
349       "Add One Hand Sword Damage"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0       0       0       0       0
350       "Add Mace Damage"                    0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
351       "Add Spear Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
352       "Add Two Hand Sword Mastery"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0       0       0       0       0
353       "Add One Hand Sword Mastery"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0       0       0       0       0
354       "Add Mace Mastery"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
355       "Add Spear Mastery"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
356       "Add Greater Life Improved"          0        24      26      0       5       0       *      8        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
357       "Add MP Consumption Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
358       "Add Hunt SD"                        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
359       "Add Hunt HP"                        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
360       "Add Greater Life Enhanced"          0        26      28      0       5       0       *      135      0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
361       "Add Min Physi Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       3       0       0       3       0       3       0
362       "Add Hunt MP"                        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
363	  "Add Greater Life Mastered"          0	28	30	0	5	0	*      136      0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
364	  "Add Max Physi Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       3       0       0       3       0       3       0
366	  "Add Critical Damage Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
367	  "Add Restore MP Rate"		       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
368	  "Add Restore HP Rate"		       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
369	  "Add Excellent Damage Rate"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
370	  "Add Double Damage Rate"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
371	  "Add Ignore Defense Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
372	  "Add Restore SD Rate"                0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0       3       3       3       3
375	  "Add DW Wing Defense"	               0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
377	  "Add DW Wing Damage"                 0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
378       "Add Flame Improved"                 25       55      0       0       6       0       1      0        0          0           0               0              0                3       0       0       0       0       0       0       0       3       0       0
379       "Add Lightning Improved"             17       20      0       6       0       0       4      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
380       "Add Magic Circle Improved"          0        220     55      0       0       0       *      138      0          0           0               0              0                3       0       0       0       0       0       0       0       3       0       0
381       "Add Inferno Improved"               100      220     0       0       6       0       1      0        0          0           0               0              0                3       0       0       0       0       0       0       0       3       0       0
382       "Add Blast Improved"                 70       165     0       0       6       0       4      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
383       "Add Magic Circle Enhanced"          0        220     55      0       0       0       *      139      0          0           0               0              0                3       0       0       0       0       0       0       0       3       0       0
384       "Add Poison Improved"                12       46      0       6       0       0       5      55       0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
385       "Add Evil Spirit Improved"           45       108     0       0       6       0       5      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
386       "Add Magic Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       3       0       3
387       "Add Decay Improved"                 95       120     10      6       4       0       5      55       0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
388       "Add Hell Fire Improved"             120      176     0       0       6       0       1      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
389       "Add Ice Improved"                   10       42      0       6       0       0       2      56       0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
390	  "Add Meteorite Improved"	       21	13	0	6	0	0	3      0	0	   0	       0	       0	      0	               3       0       0       0       0       0       0       0       0       0       0
391	  "Add Ice Storm Improved"	       80	110	5	6	4	0	2      56	0	   0	       0	       0	      0	               3       0       0       0       0       0       0       0       3       0       0
392	  "Add Nova Improved"		       22	198	49	0	6	0	1      0	0	   0	       0	       0	      0	               3       0       0       0       0       0       0       0       0       0       0
393	  "Add Ice Storm Enhanced"	       80	110	5	6	4	0	2      56	0	   0	       0	       0	      0	               3       0       0       0       0       0       0       0       0       0       0
394	  "Add Meteorite Enhanced"	       21	14	0	6	0	0	3      0	0	   0	       0	       0	      0	               3       0       0       0       0       0       0       0       0       0       0
397       "Add One Hand Staff Damage"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0       0       0       0       0
398       "Add Two Hand Staff Damage"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0       0       0       0       0
399       "Add Shield Defense"                 0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       3       0       0
400       "Add One Hand Staff Mastery"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0       0       0       0       0
401       "Add Two Hand Staff Mastery"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0       0       0       0       0
402       "Add Shield Mastery"                 0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       3       0       0
403       "Add Mana Shield Improved"           0        77      27      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
404       "Add Mana Shield Enhanced"           0        84      27      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
405       "Add Min Magic Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0       0       3       0       3
406	  "Add Mana Shield Mastered"           0	92	28	6	0	0	*      140	0	   0	       0	       0	      0	               3       0       0       0       0       0       0       0       0       0       0
407	  "Add Max Magic Damage"               0	0	0	0	0	0	*      0	0	   0	       0	       0	      0	               3       0       0       3       0       0       0       0       3       0       3
410	  "Add FE Wing Defense"                0	0	0	0	0	0	*      0	0 	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
411	  "Add Five Shot Improved"             40	11	7	0	6	0	4      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
412	  "Add FE Wing Damage"	               0	0	0	0	0	0	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
413       "Add Heal Improved"                  0        22      0       6       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
414       "Add Triple Shot Improved"           0        5       0       0       6       0       4      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
415       "Add Summon Life"                    0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
416       "Add Penetration Improved"           70       10      11      0       6       0       4      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
417       "Add Greater Defense Improved"       0        33      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
418       "Add Triple Shot Enhanced"           0        9       0       0       6       0       4      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
419       "Add Summon Defense"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
420       "Add Greater Damage Improved"        0        44      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
421       "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
422       "Add Greater Damage Enhanced"        0        48      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
423       "Add Greater Defense Enhanced"       0        36      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
424       "Add Ice Arrow Improved"             105      15      18      8       0       0       2      57       0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
425	  "Add Cure"                           0	72	10	6	0       20000	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
426	  "Add Party Healing"                  0	66	12	6	6       10000	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
427	  "Add Poison Arrow"                   27	22	27	6	0       4000	5      159	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
428	  "Add Summon Damage"                  0	0	0	0	0       0	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
429	  "Add Party Healing Improved"         22	72	13	6	6       10000	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
430	  "Add Bless"                          0	108	18	6	0       3000	*      142	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
431	  "Add Five Shot Enhanced"             40	12	8	0	6       0	4      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
432	  "Add Summon Satyros"                 0	525	52	0	0       0	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
433	  "Add Bless Improved"                 0	118	20	6	0       3000	*      142	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
434	  "Add Poison Arrow Improved"          27	24	29	6	0       3000	5      160	0	   0	       0	       0	      0	               0       0       3       0       0       0       0       0       0       0       0
435       "Add Bow Damage"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
436       "Add Cross Bow Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
437       "Add Shield Defense"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
438       "Add Bow Mastery"                    0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
439       "Add Cross Bow Mastery"              0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
440       "Add Shield Mastery"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
441       "Add Infinity Arrow Improved"        0        55      11      0       0       200     *      143      0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
442       "Add Min Physi Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
443	  "Add Max Physi Damage"               0	0	0	0	0       0	*      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
446	  "Add SU Wing Defense"                0	0	0	0	0       0	*      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
447	  "Add SU Wing Damage"                 0	0	0	0	0       0	*      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
448       "Add Sahamutt Improved"              0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
449       "Add Neil Improved"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
450       "Add Ghost Phantom Improved"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
451       "Add Sahamutt Enhanced"              0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
452       "Add Neil Enhanced"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
453       "Add Ghost Phantom Enhanced"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
454       "Add Sleep Improved"                 0        30      7       6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
455       "Add Chain Lightning Improved"       70       103     0       6       3       0       4      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
456       "Add Red Storm Improved"             95       125     10      0       5       0       4      85       0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
457       "Add Magic Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
458       "Add Drain Life Improved"            35       57      0       6       0       0       5      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
459	  "Add Lesser Damage Improved"         3	55	17	0	5       30000	*      162      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
460	  "Add Lesser Defense Improved"        3	77	17	0	5       30000	*      163      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
461	  "Add Blind"                          0	115	25	3	0       5000	*      73       0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
462	  "Add Drain Life Enhanced"            35	62	0	6	0       0	5      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
463	  "Add Blind Improved"                 0	126	27	3	0       10000	*      144      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
465       "Add Stick Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
466       "Add Book Damage"                    0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
467       "Add Stick Mastery"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
468       "Add Book Mastery"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
469       "Add Sword Power Improved"           0        150     65      0       0       0       *      150      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
470       "Add Sword Power Enhanced"           0        165     82      0       0       0       *      152      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
471       "Add Min Magic Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
472	  "Add Sword Power Mastered"           0	181	90	5	0       0	*      152      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
473	  "Add Max Magic Damage"               0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
476	  "Add MG Wing Defense"                0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
478	  "Add MG Wing Damage"                 0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
479       "Add Cyclone Improved"               0        9       0       2       0       0       4      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
480       "Add Lightning Improved"             17       20      0       6       0       0       4      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
481       "Add Twisting Slash Improved"        0        10      10      0       3       0       4      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
482       "Add Power Slash Improved"           0        15      0       0       5       0       4      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
483       "Add Flame Improved"                 25       55      0       0       6       0       1      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
484       "Add Blast Improved"                 70       165     0       0       6       0       4      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
485       "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
486       "Add Inferno Improved"               100      220     0       0       6       0       1      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
487       "Add Evil Spirit Improved"           45       108     0       0       6       0       5      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
488       "Add Magic Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
489       "Add Ice Improved"                   10       42      0       6       0       0       2      56       0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
490       "Add Fire Slash Improved"            80       15      22      2       6       0       5      58       0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
491	  "Add Ice Enhanced"                   1	46	0	6	0	0	2      56       0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
492	  "Add Sword Slash Improved"           140	30	37	0	5	0	1      83       0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
493	  "Add Fire Slash Enhanced"            80	17	24	2	6	0	5      164      0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
494	  "Add Sword Slash Enhanced"           140	33	40	0	5	0	1      83       0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
495	  "Add Earth Prison"                   26	180	15	0	4       5000	3      147      0          0           0               0              0                3       0       0       3       0       0       0       0       3       0       0
496	  "Add Lightning Storm Improved"       110	132	11	0	6	0	4      84       0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
497	  "Add Earth Prison Improved"          26	198	17	0	4       3000	3      147      0          0           0               0              0                3       0       0       3       0       0       0       0       3       0       0
505	  "Add DL Wing Defense"                0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
506	  "Add Leadership"                     0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
507	  "Add DL Wing Damage"                 0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
508       "Add Fire Burst Improved"            100      25      0       6       3       0       1      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
509       "Add Force Wave Improved"            50       15      0       4       3       0       4      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
510       "Add Dark Horse Defense"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
511       "Add Greater C. D. Improved"         0        75      75      6       6       0       *      5        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
512       "Add Earthquake Improved"            150      0       75      0       5       10000   3      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
513       "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
514       "Add Fire Burst Enhanced"            100      27      0       6       3       0       1      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
515       "Add Greater C. D. Enhanced"         0        82      82      6       6       0       *      5        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
516       "Add Earthquake Enhanced"            150      0       75      0       5       10000   3      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
517       "Add Greater C. D. Mastered"         0        100     100     6       6       0       *      148      0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
518       "Add Fire Scream Improved"           130      45      11      4       6       0       1      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
519	  "Add Electric Spark Improved"        250	0	150	10	0       5000	4      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
520	  "Add Fire Scream Enhanced"           130	49	12	4	6	32	1      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
521	  "Add Iron Defense "                  0	64	29	0	0       30000	*      134      0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
522	  "Add Greater C. D. Extended"         0	110	110	6	6	300	*      149      0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
523	  "Add Birds Improved"                 190	75	22	0	6	0	5      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
524	  "Add Iron Defense Improved"          0	70	31	0       0       30000	*      165      0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
526       "Add Dark Spirit Damage"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
527       "Add Scepter Damage"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
528       "Add Shield Defense"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
529       "Add Scepter Pet Damage"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
530       "Add Dark Spirit C. D. Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
531       "Add Scepter Mastery"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
532       "Add Shield Mastery"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
533       "Add Damage By Leadership"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
534       "Add Dark Spirit E. D. Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
535       "Add Pet Durability Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
536	  "Add Dark Spirit Attack Speed"       0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
538	  "Add Dark Spirit D. D. Rate"         0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
539	  "Add Dark Spirit I. D. Rate"         0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
549	  "Add RF Wing Defense"                0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
550	  "Add RF Wing Damage"                 0	0	0	0	0	0	*      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
551       "Add Large Ring Blower Improved"     0        10      0       2       0       0       3      76       0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
552       "Add Upper Beast Improved"           0        10      0       2       0       0       1      58       0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
554       "Add Large Ring Blower Enhanced"     0        10      0       2       0       0       3      76       0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
555       "Add Upper Beast Enhanced"           0        10      0       2       0       0       1      58       0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
